"rec_id_fk","species","variety","color","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","moisture","quakers","defect_one","defect_two"
78,"Arabica","Caturra","Bluish-Green","8.00","7.58","7.58","7.67","8.08","8.50","10.00","10.00","10.00","0.10","0.00","0.00","2.00"
79,"Arabica","SL34","Green","7.83","8.08","7.75","8.08","7.92","7.75","10.00","10.00","10.00","0.00","0.00","0.00","2.00"
80,"Arabica","SL34","Green","8.00","7.92","7.92","8.08","7.83","7.75","10.00","10.00","10.00","0.00","0.00","0.00","6.00"
81,"Arabica",NULL,NULL,"7.83","7.83","7.92","8.08","7.75","7.83","10.00","10.00","10.00","0.05","0.00","0.00","2.00"
82,"Arabica","Typica",NULL,"7.92","7.83","7.75","8.33","7.75","7.75","10.00","10.00","10.00","0.10","0.00","0.00","3.00"
83,"Arabica","Bourbon","Green","8.00","7.92","7.75","8.00","7.92","7.83","10.00","10.00","10.00","0.10","2.00","0.00","2.00"
84,"Arabica","Caturra","Green","8.17","7.92","7.83","8.00","7.58","7.83","10.00","10.00","10.00","0.11","0.00","0.00","0.00"
85,"Arabica","Caturra","Green","7.58","8.08","7.92","7.83","8.00","7.92","10.00","10.00","10.00","0.12","0.00","0.00","2.00"
86,"Arabica","Sumatra Lintong","Green","7.75","7.83","7.67","8.00","8.08","7.83","10.00","10.00","10.00","0.11","0.00","0.00","3.00"
87,"Arabica","Caturra",NULL,"8.25","8.00","7.67","7.92","7.75","7.67","10.00","10.00","10.00","0.00","0.00","0.00","7.00"
88,"Arabica","Other","Green","7.75","8.00","7.58","8.00","8.00","7.92","10.00","10.00","10.00","0.11","1.00","0.00","8.00"
89,"Arabica","Caturra",NULL,"8.17","7.83","7.58","8.08","8.00","7.75","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
90,"Arabica",NULL,"Green","8.42","8.00","7.42","8.00","7.92","7.92","9.33","10.00","10.00","0.10","0.00","2.00","7.00"
91,"Arabica","Hawaiian Kona","Bluish-Green","7.58","7.83","7.83","7.92","7.83","8.17","10.00","10.00","10.00","0.11","0.00","2.00","2.00"
92,"Arabica","Caturra","Green","7.83","8.00","7.75","7.75","7.83","7.83","10.00","10.00","10.00","0.11","0.00","0.00","8.00"
93,"Arabica",NULL,NULL,"8.08","8.17","7.92","8.00","8.08","8.00","9.33","9.33","10.00","0.01","0.00","1.00","7.00"
94,"Arabica",NULL,NULL,"7.67","8.00","7.83","8.00","7.92","7.83","10.00","10.00","10.00","0.00","0.00","0.00","5.00"
95,"Arabica",NULL,NULL,"7.50","7.92","8.25","7.83","7.92","7.75","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
96,"Arabica","SL14","Green","8.17","7.92","7.75","7.75","7.67","7.75","10.00","10.00","10.00","0.11","0.00","0.00","1.00"
97,"Arabica","Caturra","Green","8.00","7.92","7.75","7.92","7.75","7.83","10.00","10.00","10.00","0.00","0.00","0.00","3.00"
98,"Arabica","Catuai","Green","7.83","8.00","7.58","7.92","7.92","7.83","10.00","10.00","10.00","0.12","1.00","1.00","1.00"
99,"Arabica","Typica","Green","7.83","8.00","7.83","7.75","7.67","7.83","10.00","10.00","10.00","0.09","0.00","0.00","3.00"
100,"Arabica",NULL,"Green","8.17","7.83","7.92","7.75","7.67","7.83","10.00","10.00","10.00","0.11","5.00","0.00","7.00"
101,"Arabica","SL34","Green","7.75","7.83","7.75","8.08","8.00","7.75","10.00","10.00","10.00","0.00","0.00","0.00","5.00"
102,"Arabica","Mundo Novo","Green","8.00","8.00","7.83","7.83","7.67","7.67","10.00","10.00","10.00","0.12","0.00","0.00","3.00"
103,"Arabica","Pacamara",NULL,"7.92","8.17","7.75","8.08","7.42","7.83","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
104,"Arabica",NULL,NULL,"7.75","7.92","7.75","7.75","8.00","8.00","10.00","10.00","10.00","0.00","0.00","0.00","1.00"
105,"Arabica",NULL,NULL,"7.83","8.08","7.67","8.00","7.75","7.67","10.00","10.00","10.00","0.04","0.00","0.00","1.00"
106,"Arabica","Caturra",NULL,"7.92","7.92","7.67","7.83","7.92","7.83","10.00","10.00","10.00","0.00","6.00","1.00","2.00"
107,"Arabica","Caturra","Green","7.92","7.83","7.75","7.83","7.75","8.00","10.00","10.00","10.00","0.12","0.00","0.00","1.00"
108,"Arabica","Typica","Green","7.67","7.83","8.00","7.58","8.00","7.92","10.00","10.00","10.00","0.11","0.00","0.00","0.00"
109,"Arabica","Other","Green","8.00","7.83","7.83","7.92","7.75","7.75","10.00","10.00","10.00","0.12","0.00","0.00","2.00"
110,"Arabica","Caturra","Green","7.75","7.92","7.83","7.75","7.75","8.00","10.00","10.00","10.00","0.11","0.00","0.00","3.00"
111,"Arabica","Typica",NULL,"7.75","8.00","7.75","7.83","7.50","7.92","10.00","10.00","10.00","0.11","0.00","0.00","0.00"
112,"Arabica","Bourbon","Green","8.00","7.92","7.75","7.75","8.00","7.75","10.00","10.00","10.00","0.11","0.00","0.00","2.00"
113,"Arabica","Catuai","Green","8.00","8.00","7.75","8.00","7.50","7.75","10.00","10.00","10.00","0.12","0.00","0.00","2.00"
114,"Arabica",NULL,NULL,"8.00","7.67","7.83","8.17","7.92","7.75","10.00","10.00","10.00","0.06","0.00","1.00","9.00"
115,"Arabica","Typica","Green","7.92","7.58","7.83","7.83","7.83","7.83","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
116,"Arabica","SL14","Green","7.75","7.92","7.67","7.67","8.25","7.75","10.00","10.00","10.00","0.12","0.00","0.00","1.00"
117,"Arabica","Hawaiian Kona",NULL,"7.67","7.75","7.75","7.75","7.83","8.00","10.00","10.00","10.00","0.00","0.00","3.00","15.00"
118,"Arabica",NULL,NULL,"7.75","7.92","7.83","7.92","7.75","7.67","10.00","10.00","10.00","0.10","0.00","0.00","2.00"
119,"Arabica",NULL,NULL,"7.42","7.92","7.92","8.00","7.83","7.83","10.00","10.00","10.00","0.10","0.00","0.00","4.00"
120,"Arabica","Caturra","Green","7.75","7.75","7.75","7.75","8.00","7.75","10.00","10.00","10.00","0.12","0.00","0.00","0.00"
121,"Arabica","SL34","Green","7.92","7.83","7.58","7.92","7.75","7.83","10.00","10.00","10.00","0.13","0.00","0.00","0.00"
122,"Arabica","Catuai","Green","7.83","7.75","8.00","7.67","7.67","7.67","10.00","10.00","10.00","0.11","0.00","0.00","4.00"
123,"Arabica",NULL,NULL,"7.75","8.00","8.00","8.33","7.67","7.92","10.00","10.00","9.33","0.15","0.00","0.00","3.00"
124,"Arabica",NULL,NULL,"7.83","7.58","7.58","7.83","7.75","7.67","10.00","10.00","10.00","0.18","0.00","0.00","2.00"
125,"Arabica","Bourbon","Blue-Green","7.83","7.83","7.50","8.00","7.83","7.67","10.00","10.00","10.00","0.00","0.00","0.00","2.00"
126,"Arabica","Java","Green","7.92","7.83","7.75","7.75","7.75","7.75","10.00","10.00","10.00","0.12","0.00","0.00","7.00"
127,"Arabica","Mundo Novo","Green","7.75","7.75","7.75","7.42","8.08","7.83","10.00","10.00","10.00","0.12","0.00","0.00","0.00"
128,"Arabica","Catuai","Blue-Green","8.08","7.75","7.67","7.83","7.50","7.92","10.00","10.00","10.00","0.10","0.00","0.00","2.00"
129,"Arabica","Bourbon","Green","7.75","7.83","7.58","8.00","7.92","7.75","10.00","10.00","10.00","0.10","0.00","0.00","1.00"
130,"Arabica","Caturra","Green","8.17","8.00","7.83","7.17","7.83","7.75","10.00","10.00","10.00","0.12","0.00","0.00","0.00"
131,"Arabica","Ethiopian Yirgacheffe",NULL,"8.08","7.83","7.75","7.83","7.58","7.67","10.00","10.00","10.00","0.10","0.00","0.00","3.00"
132,"Arabica","Other","Green","7.67","7.58","7.75","7.75","7.67","8.58","10.00","10.00","10.00","0.08","0.00","0.00","1.00"
133,"Arabica","Catuai","Green","8.00","7.58","7.83","7.75","7.75","7.75","10.00","10.00","10.00","0.11","0.00","0.00","4.00"
134,"Arabica",NULL,"Green","8.08","7.83","7.75","7.83","7.92","8.00","10.00","10.00","9.33","0.00","0.00","1.00","10.00"
135,"Arabica","Typica","Green","8.00","7.92","7.75","7.75","7.75","7.75","10.00","10.00","10.00","0.11","0.00","0.00","0.00"
136,"Arabica","Caturra","Green","7.75","7.83","7.75","7.83","7.75","7.83","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
137,"Arabica","SL28","Bluish-Green","7.75","7.92","7.83","8.00","7.58","7.75","10.00","10.00","10.00","0.11","0.00","0.00","0.00"
138,"Arabica","Bourbon","Green","8.00","7.83","7.67","7.83","7.67","8.00","10.00","10.00","10.00","0.11","0.00","0.00","4.00"
139,"Arabica","Bourbon","Green","7.67","7.83","7.67","8.00","7.67","7.83","10.00","10.00","10.00","0.12","0.00","0.00","4.00"
140,"Arabica","Typica",NULL,"7.83","7.58","7.67","7.92","7.92","7.83","10.00","10.00","10.00","0.13","0.00","0.00","3.00"
141,"Arabica","Other","Blue-Green","7.92","7.83","7.75","7.92","7.67","7.75","10.00","10.00","10.00","0.11","0.00","0.00","3.00"
142,"Arabica",NULL,NULL,"7.67","7.83","7.75","7.75","7.92","7.83","10.00","10.00","10.00","0.00","0.00","0.00","3.00"
143,"Arabica",NULL,NULL,"7.42","7.75","7.75","8.00","8.00","7.92","10.00","10.00","10.00","0.20","0.00","0.00","3.00"
144,"Arabica","SL34","Blue-Green","7.92","7.75","7.83","7.75","7.58","7.92","10.00","10.00","10.00","0.11","0.00","0.00","5.00"
145,"Arabica","Other","Blue-Green","7.83","7.67","7.58","7.92","7.67","7.83","10.00","10.00","10.00","0.00","0.00","0.00","4.00"
146,"Arabica","Caturra","Green","7.92","7.83","7.58","8.00","7.83","7.67","10.00","10.00","10.00","0.00","1.00","0.00","5.00"
147,"Arabica","Peaberry","Bluish-Green","7.83","7.83","7.83","7.75","7.58","7.83","10.00","10.00","10.00","0.10","0.00","0.00","2.00"
148,"Arabica","Pacas","Green","7.75","7.83","7.67","7.92","7.75","7.83","10.00","10.00","10.00","0.11","0.00","0.00","1.00"
149,"Arabica","Bourbon","Green","8.00","7.92","7.67","7.58","7.58","7.67","10.00","10.00","10.00","0.09","0.00","0.00","0.00"
150,"Arabica","Caturra",NULL,"7.67","7.67","7.58","7.75","7.58","8.50","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
151,"Arabica","Caturra",NULL,"7.75","7.75","7.83","7.75","7.58","8.00","10.00","10.00","10.00","0.00","0.00","0.00","5.00"
152,"Arabica","SL28","Green","7.75","7.75","7.75","8.08","7.75","7.75","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
153,"Arabica","Caturra","Green","7.67","7.83","7.83","8.00","7.58","7.92","10.00","10.00","10.00","0.00","0.00","0.00","2.00"
154,"Arabica","Bourbon","Bluish-Green","7.75","7.83","7.75","8.00","7.83","7.67","10.00","10.00","10.00","0.12","0.00","0.00","2.00"
155,"Arabica","Caturra","Green","7.42","7.67","7.75","7.75","8.08","7.83","10.00","10.00","10.00","0.11","0.00","0.00","6.00"
156,"Arabica","Bourbon","Green","8.00","8.00","7.75","7.75","7.58","7.75","10.00","10.00","10.00","0.12","0.00","0.00","2.00"
157,"Arabica","Catuai","Blue-Green","8.50","8.00","7.50","7.75","7.50","7.83","10.00","10.00","10.00","0.11","0.00","0.00","1.00"
158,"Arabica","Caturra","Bluish-Green","7.92","7.67","7.92","7.75","7.67","7.58","10.00","10.00","10.00","0.10","0.00","0.00","2.00"
159,"Arabica","SL14","Green","7.92","7.75","7.67","7.75","7.83","7.75","10.00","10.00","10.00","0.11","0.00","0.00","1.00"
160,"Arabica","Catimor","Green","7.75","7.92","7.67","7.83","7.75","7.67","10.00","10.00","10.00","0.10","0.00","0.00","1.00"
161,"Arabica","Caturra","Green","7.92","7.83","7.83","7.83","7.58","7.58","10.00","10.00","10.00","0.11","0.00","0.00","0.00"
162,"Arabica","Other","Green","8.08","7.67","7.83","7.83","7.67","7.67","10.00","10.00","10.00","0.12","0.00","1.00","0.00"
163,"Arabica","Other","Green","7.67","8.00","7.75","7.83","7.75","7.58","10.00","10.00","10.00","0.00","0.00","0.00","2.00"
164,"Arabica","Bourbon","Green","8.17","7.83","7.67","7.83","7.67","7.83","10.00","10.00","10.00","0.11","0.00","0.00","2.00"
165,"Arabica","SL28","Blue-Green","7.92","7.83","7.67","8.00","7.67","7.75","10.00","10.00","10.00","0.11","0.00","0.00","0.00"
166,"Arabica","Typica","Green","8.00","7.92","7.42","8.08","7.50","7.67","10.00","10.00","10.00","0.12","0.00","0.00","0.00"
167,"Arabica","Typica",NULL,"7.92","7.83","7.75","7.75","7.75","7.83","10.00","10.00","10.00","0.11","0.00","0.00","4.00"
168,"Arabica","Bourbon","Green","7.67","8.00","7.67","8.00","7.50","7.83","10.00","10.00","10.00","0.11","0.00","0.00","2.00"
169,"Arabica",NULL,NULL,"7.81","7.81","7.88","7.75","7.38","8.25","9.50","10.00","10.00","0.00","0.00","0.00","4.00"
170,"Arabica",NULL,NULL,"8.17","7.67","7.75","7.75","7.67","7.75","10.00","10.00","10.00","0.00","0.00","2.00","0.00"
171,"Arabica","Caturra","Blue-Green","7.58","7.83","7.83","8.00","7.67","7.58","10.00","10.00","10.00","0.10","0.00","0.00","3.00"
172,"Arabica","Mandheling","Blue-Green","7.67","7.67","7.83","7.58","7.83","7.83","10.00","10.00","10.00","0.00","0.00","0.00","3.00"
173,"Arabica","Caturra","Green","7.92","7.83","7.75","7.67","7.92","7.67","10.00","10.00","10.00","0.00","0.00","0.00","1.00"
174,"Arabica","Caturra","Green","7.92","7.75","7.67","7.92","7.67","7.75","10.00","10.00","10.00","0.00","0.00","0.00","3.00"
175,"Arabica","Typica","Blue-Green","7.83","7.83","7.75","8.00","7.50","7.75","10.00","10.00","10.00","0.11","0.00","0.00","0.00"
176,"Arabica","Hawaiian Kona","Blue-Green","7.92","7.92","7.50","7.83","7.50","7.92","10.00","10.00","10.00","0.11","0.00","0.00","1.00"
177,"Arabica","Pacamara",NULL,"7.75","7.92","7.75","7.67","7.83","7.67","10.00","10.00","10.00","0.12","0.00","2.00","4.00"
178,"Arabica",NULL,NULL,"7.50","7.75","7.83","7.92","7.92","7.75","10.00","10.00","10.00","0.20","0.00","0.00","2.00"
179,"Arabica","SL28","Green","7.33","7.58","7.83","7.75","7.75","7.92","10.00","10.00","10.00","0.11","0.00","0.00","4.00"
180,"Arabica","Caturra","Green","7.92","8.00","7.75","7.67","7.67","7.75","10.00","10.00","10.00","0.10","0.00","0.00","3.00"
181,"Arabica","Caturra","Green","7.58","7.75","7.50","7.83","7.67","8.50","10.00","10.00","10.00","0.00","3.00","0.00","5.00"
182,"Arabica","Catuai","Green","7.58","7.92","7.58","7.75","7.92","7.75","10.00","10.00","10.00","0.11","1.00","0.00","2.00"
183,"Arabica",NULL,NULL,"7.67","7.67","7.75","7.83","7.75","7.83","10.00","10.00","10.00","0.00","2.00","0.00","4.00"
184,"Arabica","Caturra","Green","7.75","7.67","8.00","7.67","8.08","7.83","10.00","10.00","10.00","0.11","0.00","6.00","0.00"
185,"Arabica","Caturra","Green","7.75","7.58","7.33","7.83","7.58","8.08","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
186,"Arabica","Typica","Blue-Green","8.00","7.75","7.75","7.83","7.50","7.67","10.00","10.00","10.00","0.12","0.00","0.00","1.00"
187,"Arabica","Yellow Bourbon",NULL,"8.17","8.00","7.50","7.75","7.50","7.67","10.00","10.00","10.00","0.00","0.00","0.00","4.00"
188,"Arabica",NULL,NULL,"8.00","8.00","7.50","7.50","7.67","7.75","10.00","10.00","10.00","0.02","0.00","0.00","2.00"
189,"Arabica",NULL,NULL,"7.75","7.75","7.92","7.75","7.50","7.92","10.00","10.00","10.00","0.00","0.00","0.00","1.00"
190,"Arabica",NULL,NULL,"7.50","7.67","7.75","7.67","7.92","7.92","10.00","10.00","10.00","0.04","0.00","1.00","1.00"
191,"Arabica","Typica","Blue-Green","7.92","7.75","7.75","7.67","7.67","7.83","10.00","10.00","10.00","0.12","0.00","0.00","0.00"
192,"Arabica","Catimor","Green","7.83","7.75","7.75","7.42","7.83","7.67","10.00","10.00","10.00","0.12","0.00","0.00","0.00"
193,"Arabica","Caturra","Green","7.83","7.58","7.75","7.58","7.67","8.00","10.00","10.00","10.00","0.11","0.00","0.00","2.00"
194,"Arabica","Caturra","Green","7.75","7.75","7.58","7.92","7.75","7.75","10.00","10.00","10.00","0.11","4.00","0.00","4.00"
195,"Arabica","Caturra","Green","7.75","7.92","7.50","8.08","7.58","7.67","10.00","10.00","10.00","0.10","0.00","0.00","1.00"
